"id","type_of_course","course_name","course_short_name","url_mask","enrollment_close_date","course_fee","course_duration","is_installment_facility","class_routine","is_new","is_featured","lms_course_id","status","exit_intent_id","old_pid","old_id","discarded","added_date","modified_date","mailchimp_interest_id","hide_from_list","show_new_refund_policy","new_refund_policy","refund_policy_tagline","show_freedownload_msg","freedownload_msg","show_freedownload_succ_msg","freedownload_succ_msg","is_new_welcome_email","new_welcome_email","freedownload_vdo_cnt","duration_type","show_type","time_interval","popup_id","ap_id","show_join_the_waitlist_msg","join_the_waitlist_msg","show_join_the_waitlist_succ_msg","join_the_waitlist_succ_msg","banner_short_information","show_govt_logo_cap","tags","ap_course_cat_id","welcome_call_required","payment_gateway","location_short_name","type_of_course_sec","show_govt_medhavi_logo"
"122","13","AI-Powered Remote Accounting Automation Mastery","AI-Powered Remote Accounting Automation Mastery","ai-powered-remote-accounting-automation-mastery","2026-09-15 23:59:00","60000","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-07-17 18:28:25","2026-08-21 19:08:04",,"N","N","","","N","","N","","N","","","month","T","0","0","290","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN",,"0"
"121","13","AI-Powered CHRO Transformation Program","CHRO Transformation Program","ai-powered-chro-transformation-program",,"75000","6","N","","Y","N",,"A","204",,,"N","2025-07-14 16:31:55","2025-07-14 18:07:20",,"N","N","","","N","","N","","N","","","month","T","0","0","289","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"120","5","CFA training program with corporate finance practice","CFA training program","cfa-training-program-with-corporate-finance-practice",,"120000","2","N","","Y","N",,"A","204",,,"N","2025-06-01 11:22:41","2025-06-01 14:06:52",,"N","Y","","","N","","N","","N","","","year","T","0","0","288","N","","N","","","N","Remote International Work","5","Y","Cashfree","IN","13","0"
"119","13","CPA Prep & Global Finance Career Acceleration Program","CPA Prep","cpa-prep--global-finance-career-acceleration-program","2025-12-31 23:59:00","120000","12","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-04-20 13:31:36","2026-02-20 19:02:05",,"N","N","","","N","","N","","N","","","month","T","0","0","287","N","","N","","","N","Remote International Work","5","Y","Cashfree","IN","5","0"
"118","13","Executive Certificate Course in Support and Operations Automation & AI","Support and Operations Automation & AI","executive-certificate-course-in-support-and-operations-automation-ai","2026-01-31 23:59:00","75000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-04-20 10:03:46","2026-01-22 18:01:38",,"N","Y","","","N","","N","","N","","","month","T","0","0","286","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"117","13","AI-Driven Automation, Data Analysis & Research for Academic Writers","AI-Driven Automation","ai-driven-automation-data-analysis--research-for-academic-writers","2026-09-15 23:59:00","60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-04-13 12:06:31","2026-08-21 19:08:25",,"N","Y","","","N","","N","","N","","","month","T","0","0","285","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"116","13","Executive Certificate Course in Global Academic Writing & Research Services","Academic Writing & Research","executive-certificate-course-in-global-academic-writing--research-services","2025-11-30 23:59:00","60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-04-12 15:17:06","2026-08-21 14:08:39",,"N","Y","","","N","","N","","N","","","month","T","0","0","284","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","3"
"115","13","Executive Certificate Course in Advanced Technical Writing","Advanced Technical Writing","executive-certificate-course-in-advanced-technical-writing","2025-04-30 15:41:00","60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-04-12 14:22:17","2026-01-22 18:01:17",,"N","Y","","","N","","N","","N","","","month","T","0","0","283","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"114","13","Executive Certificate Course in Global Medical Writing and International Project Outreach","Global Medical Writing","executive-certificate-course-in-global-medical-writing-and-international-project-outreach","2025-04-30 15:41:00","60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-04-12 11:54:41","2026-01-22 18:01:02",,"N","N","","","N","","N","","N","","","month","T","0","0","282","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"113","13","Executive Certificate Course in Strategic Sales Leadership & Revenue Mastery","Strategic Sales Leadership","executive-certificate-course-in-strategic-sales-leadership--revenue-mastery","2025-04-30 15:41:00","66000","6","N","6-8hours/week","Y","N",,"A","204",,,"N","2025-03-30 13:51:50","2026-01-22 18:01:43",,"N","Y","","","N","","N","","N","","","month","T","0","0","281","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
