"id","course_id","banner_name","image_name","show_syllabus","show_enroll_now","show_refund_policy","show_enroll_close_date","show_free_download","status","banner_type","use_as_listing","banner_listing","added_date","modified_date","infographic_value"
"72","71","Banner","5358ced3cdc2e5b6d16a2f2fae277d4a.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-27 12:46:23","2024-08-29 16:08:05",
"73","72","Banner","710aacbf7196a8383ae70a4aa07e5b13.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-27 13:16:32","2024-09-21 14:09:43",
"74","73","Banner","d8dfdcf1840e308f152a9844e00c8a1f.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-27 13:16:55","2024-08-29 16:08:39",
"75","74","Banner","1a9c7dcdbd0314c89a6a2c848a35cbc5.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-28 15:01:30","2024-08-28 15:08:00",
"76","75","Banner","","N","Y","N","N","Y","A","primary",,"","2024-08-29 17:46:29","2024-08-29 17:08:38",
"77","76","Banner","48a32ec6c1033a97785a45496416d58c.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-09-13 16:39:58","2024-09-13 18:09:45",
"78","77","Banner","f5095330b91c4688dad5c5db0f6fcd1c.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-09-13 17:30:08","2024-09-13 17:09:07",
"79","78","Banner","01ed56c24051da4651a81c962195d0c6.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-09-13 17:50:31","2024-09-16 18:09:22",
"80","79","Banner","3d2313d197328a8e330bb8d97d77216f.jpg","Y","Y","Y","N","N","A","primary",,"","2024-09-13 18:23:22","2024-09-13 18:09:48",
"81","80","Banner","25bde3f92efeb600662d5f22bcd8bbf4.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-09-18 18:38:48","2024-09-18 19:09:49",
"82","81","Banner","c0e10ff378fb175e9a0738f8c69007f8.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-09-22 06:08:22","2024-09-23 17:09:48",
"83","82","Banner","97121726df3b3059723724226184c8e4.jpg","Y","Y","N","Y","N","A","primary",,"","2024-09-27 14:04:29","2024-09-27 16:09:25",
"84","83","Banner","43e19583200b54f64e778ba77cba5c10.jpg","Y","Y","N","Y","N","A","primary",,"","2024-09-27 14:56:31","2024-09-27 15:09:31",
"85","84","Banner","23ac429916af3b33c6f729517a653efd.jpg","Y","Y","N","Y","N","A","primary",,"","2024-09-27 15:33:01","2024-09-27 15:09:15",
"86","85","Banner","aaabaa883730b9b85112839b8b405dac.jpg","Y","Y","N","Y","N","A","primary",,"","2024-09-27 15:47:16","2024-09-27 16:09:21",
"87","86","Banner","d4e3402ca7bab013f733034224e69f29.jpg","Y","Y","N","N","N","A","primary",,"","2024-09-27 17:42:19","2024-11-26 19:11:37",
"88","87","Banner","397775d35a8da0e7ce0205bda59de54f.jpg","Y","Y","N","Y","N","A","primary",,"","2024-10-10 16:02:16","2024-10-10 16:10:24",
"89","88","Banner","90b8ea642854e03e602a3eefd78769a2.jpg","Y","Y","Y","N","N","A","primary",,"","2024-10-13 18:56:22","2024-10-22 16:10:28",
"90","89","Banner","fef25806a8199c60a68ba12c23f31708.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-10-17 14:34:53","2024-10-17 14:10:56",
"91","90","Banner","3d94a3007802e2c927019c97a1abf49d.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-10-17 14:52:43","2024-10-17 15:10:17",
"92","91","Banner","3dc644c35d7870b61188c24e9ef7c550.jpeg","Y","Y","Y","Y","Y","A","primary",,"","2024-10-17 17:34:22","2024-10-17 17:10:21",
"93","92","Banner","5f46577aa234d27d04b8d8f501eb2cf8.jpg","N","Y","Y","Y","N","A","primary",,"","2024-10-17 17:48:54","2024-10-17 18:10:25",
"94","93","Banner","36132df39b5eaf5a2afec35d0858bec7.jpg","N","Y","N","Y","N","A","primary",,"","2024-10-17 19:52:12","2024-10-17 20:10:05",
"95","94","Banner","1b2763fb707f088d3fec484340d8ad13.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-10-17 20:17:46","2024-10-17 21:10:48",
"96","95","Banner","d813b16451e8c374e167bed3674844e2.jpg","Y","Y","N","Y","N","A","primary",,"","2024-10-18 14:32:40","2024-10-18 15:10:57",
"97","96","Banner","af340c1ad9c2ab41048f4bab4df53a7f.jpg","Y","Y","Y","N","N","A","primary",,"","2024-10-20 11:38:07","2024-10-22 15:10:51",
"98","97","Banner","d68bb0cdcafe5bfa93816d032a6725fd.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-11-08 18:44:26","2024-11-08 19:11:57",
