"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"74","Ms. Megha Sharma (NCA Course Anchor)","Principal Associate, SkillArbitrage, NCA Qualified and Intellectual Property Lawyer",,"https://www.linkedin.com/in/megha-sharma-133765ba","ms-megha-sharma-nca-course-anchor-1729169133.jpg","1729169133","1729169210","A"
"75","Mr. Kunal Dev Sinha","NCA Qualified, Litigation Lawyer - Chambers of Rai and Kholi (Civil/Commercial)",,"https://www.linkedin.com/in/kunaldevsinha","mr-kunal-dev-sinha-1729169180.jpg","1729169180",,"A"
"76","Ms.Astha D.","Solicitor and Barrister, Law Society of Ontario",,"https://www.linkedin.com/in/astha-d-8a00b522","msastha-d-1729169258.jpg","1729169258",,"A"
"77","Vriti Yadav","Senior Associate at LawSikho/Skill Arbitrage",,"https://www.linkedin.com/in/vriti-yadav-973635247/","vriti-yadav-1729852308.png","1729402510","1729852308","A"
"78","Garima Bhayana","Senior Associate at LawSikho/Skill Arbitrage",,"https://www.linkedin.com/in/garimatrains/","garima-bhayana-1729402658.jpg","1729402658",,"A"
"79","Nidhi Dayani","Principal Associate at Lawsikho",,"https://www.linkedin.com/in/nidhi-dayani/?original_referer=https://lawsikho.com/","nidhi-dayani-1729409615.png","1729409615",,"A"
"80","Deepak Arora","Senior Associate",,"https://www.linkedin.com/in/deepak-arora-826285b6/","deepak-arora-1729512859.png","1729512859",,"A"
"81","Ramya Kumara Swamy","Dual qualified Lawyer (Advocate, India & Solicitor, UK) with 12 years experience in soft Intellectual Property (IP) both in India and the UK; breadth and depth- trade marks, designs, copyrights, domain name disputes across technology, pharma, retail, manufacturing, mobile games, cosmetic and boutique industries.",,"https://www.linkedin.com/in/ramya-kumara-swamy-1a516413","ramya-kumara-swamy-1729784758.png","1729784758",,"A"
"82","Kalindi Rughani","An Experienced Lawyer with 15 years of practice of dealing with contentious and non - contentious legal matters. Representing Private Clients and Companies in the Magistrate Court, Small Causes Court, City Civil Court and the Bombay High Court in the jurisdiction of Mumbai for Real Estate Law, Trademark Law, Cheque Bounce Matters, Wills and Probate. She got opportunity to reside in the United Kingdom for few years and gained experience of working in the legal department of Local Council which he",,"https://www.linkedin.com/in/kalindi-rughani-3b27ba20","kalindi-rughani-1729784837.jpg","1729784837",,"A"
"83","Suksham Chauhan","dual qualified lawyer (Solicitor, England & Wales and Indian Advocate). He is an international dispute lawyer (international arbitration, commercial litigation and white collar crime). He has worked with top tier dispute resolution firms in the world - GBS Disputes, Shearman & Sterling, Quinn Emanuel and Khaitan & Co. He has completed his LL.M. from MIDS (Geneva LL.M. in International Dispute Settlement).",,"https://www.linkedin.com/in/suksham","suksham-chauhan-1729784904.jpg","1729784904",,"A"
"84","Ujjwal Sharma","Ujjwal holds an LL.M. from King’s College London in International Dispute Resolution and IP, and a first-class honours in BA LLB from O.P. Jindal Global University, India. His passion lies in Trade Mark Law, Dispute Resolution and Litigation. He also recently gained CITMA certification as a qualified Trade Mark Paralegal. He cleared his SQE-1 exam in January 2024.",,"https://www.linkedin.com/in/ujjwal-s/","ujjwal-sharma-1729785031.png","1729785031",,"A"
"85","Prem Deep Arora","Prem is a Senior Associate at LawSikho and the sub-course anchor for the Solicitors Qualifying Exam (SQE) course. He holds an LL.M. and a first-class honours in BA LLB from Amity Law School, Noida. He is experienced in legal research, creating legal content and teaching.",,"https://www.linkedin.com/in/premdeeparora/","prem-deep-arora-1729785085.jpg","1729785085",,"A"
"86","Richa Sahay","Associate at SkillArbitrage. She graduated with a BBA.LLB (Hons.) specializing in Constitutional Law and also holds a master’s degree in the same field. She has experience mentoring and guiding both Indian and international students.",,"https://www.linkedin.com/in/richa-sahay-content-developer/","richa-sahay-1729785148.jpg","1729785148",,"A"
"87","Rishi Rhudra","Deputy Director, Content Team Skill Arbitrage",,"","rishi-rhudra-1729847494.jpg","1729847494",,"A"
"88","Mr. Manash Mandal","Mentored 800+ students across India for prestigious national-level exams, including SEBI Grade A (Law Officer), IBPS SO (Law Officer), Limited Insolvency Examination, and Independent Director's Online Proficiency Test.",,"http://linkedin.com/in/manash-mandal-5934bb116","mr-manash-mandal-1730882644.jpg","1730882644",,"A"
"89","Ms. Gagandeep Kaur Saluja","Member of the Institute of Company Secretaries of India (ICSI) & Law Graduate from University of Delhi and Post Graduate in Master in Business Administration in Finance.",,"https://lawsikho.com/course/www.linkedin.com/in/cs-gagandeep-kaur-saluja-3776169b","ms-gagandeep-kaur-saluja-1730882684.jpeg","1730882684",,"A"
"90","Mr. Kapileshwar Bhalla","23 years of teaching experience in CA, ACCA, IFRS, CPA - USA, and CMA - USA courses. Kapil has also conducted corporate training in finance, IFRS, Ind AS/IGAAP",,"http://linkedin.com/in/kapileshwar-bhalla-39275b1a6","mr-kapileshwar-bhalla-1730882713.jpg","1730882713",,"A"
"91","Ms. Garima Khanna","Director - Test Prep",,"https://in.linkedin.com/in/garima-khanna-2b797bb4","ms-garima-khanna-1730882759.jpeg","1730882759",,"A"
"92","Mr. Rahul Jain","Qualified Independent Director, Teaches Corporate Law in the Course. Have a vast experience of teaching statutes of Corporate & Business law including The Companies Act, 2013. He is an expert in complying with company law, foreign exchange regulations, FEMA, banking rules & regulations, information technology laws, data privacy Laws, secretarial standards and governance, and statutory compliances. Along with it, having a practical experience of 7 years of litigation before the Hon’ble Punjab & H",,"","mr-rahul-jain-1730882790.jpg","1730882790",,"A"
"93","Ms. Pranjul Barche","A qualified Chartered Accountant and L.L.M.",,"https://www.linkedin.com/in/pranjulbarche/","ms-pranjul-barche-1730882825.jpeg","1730882825",,"A"
"94","Varun Peter","Varun Peter is an internationally registered nurse, certified in India, the UAE, Ireland, and the USA. With his extensive global expertise, he enriches the NCLEX curriculum with a world-class perspective. He has successfully trained over 1,000 students, empowering them with the skills and knowledge needed for their nursing careers.",,"","varun-peter-1731137352.jpg","1731072619","1731137352","A"
